Zip Code,BaseDate,3-Month,6-Month,1-Year
5201,2024-03-31,0.8,2.7,1.5
6831,2024-03-31,1.3,3.3,2.1
71701,2024-03-31,0.6,1.3,-2.0
33412,2024-03-31,0.6,1.3,2.8
92866,2024-03-31,0.9,1.8,0.2
21211,2024-03-31,0.8,1.9,-1.0
62249,2024-03-31,1.2,2.9,0.4
36106,2024-03-31,0.7,1.5,-0.3
45891,2024-03-31,1.3,3.9,2.0
48362,2024-03-31,1.3,3.2,0.3
36108,2024-03-31,0.8,1.8,-0.3
1532,2024-03-31,1.1,3.0,1.8
74106,2024-03-31,1.4,3.6,2.4
94960,2024-03-31,1.2,1.7,-1.9
97524,2024-03-31,0.8,1.8,-1.4
3087,2024-03-31,1.3,3.1,0.6
36541,2024-03-31,0.8,2.1,0.9
66067,2024-03-31,1.4,4.2,2.7
72801,2024-03-31,0.6,1.5,-0.8
15009,2024-03-31,0.9,2.3,-0.5
16127,2024-03-31,1.1,3.0,1.6
78404,2024-03-31,0.8,1.7,-1.3
33602,2024-03-31,0.7,1.7,3.0
48130,2024-03-31,1.1,2.8,-0.9
80903,2024-03-31,1.0,1.9,0.7
10965,2024-03-31,0.6,1.6,-0.8
35208,2024-03-31,1.3,3.2,1.2
28387,2024-03-31,1.0,3.0,3.7
29657,2024-03-31,1.0,2.4,2.1
22553,2024-03-31,0.5,0.8,-0.4
1247,2024-03-31,1.0,3.1,2.5
94805,2024-03-31,1.1,1.5,-1.7
60403,2024-03-31,1.2,2.9,-0.4
53073,2024-03-31,1.2,3.0,1.3
62208,2024-03-31,1.2,2.8,0.4
16105,2024-03-31,0.9,2.6,0.6
10538,2024-03-31,0.7,1.7,-0.9
79412,2024-03-31,0.9,2.1,-0.1
11953,2024-03-31,0.6,1.7,-0.9
44321,2024-03-31,1.1,3.1,0.8
39475,2024-03-31,0.7,1.6,-0.9
46814,2024-03-31,1.0,2.6,2.0
16508,2024-03-31,1.1,3.0,1.1
38237,2024-03-31,1.0,2.6,1.6
57350,2024-03-31,0.4,1.1,-1.6
44706,2024-03-31,1.6,4.2,1.2
45067,2024-03-31,1.2,3.1,1.4
77531,2024-03-31,0.4,1.1,0.2
38107,2024-03-31,1.1,2.7,2.3
94612,2024-03-31,0.6,0.9,-1.1
92118,2024-03-31,1.0,2.0,2.2
79903,2024-03-31,0.6,1.2,1.6
52807,2024-03-31,0.9,2.7,-1.1
63628,2024-03-31,1.2,3.1,1.4
79549,2024-03-31,0.5,1.0,-3.7
33706,2024-03-31,0.7,1.8,3.2
81503,2024-03-31,1.0,2.6,1.8
18706,2024-03-31,0.9,2.5,1.3
36619,2024-03-31,0.8,2.0,0.9
80202,2024-03-31,0.8,1.5,0.1
8904,2024-03-31,0.6,1.6,-0.9
29388,2024-03-31,1.0,2.5,2.8
30354,2024-03-31,0.9,2.1,2.5
27249,2024-03-31,0.9,2.3,1.8
48836,2024-03-31,1.2,3.1,0.3
1864,2024-03-31,1.4,3.4,0.6
48451,2024-03-31,1.1,3.1,1.1
80018,2024-03-31,1.1,1.9,0.2
